original_idx,Condition,Score_RootCause_1_5_A,Score_Evidence_1_5_A,Score_CWE_1_5_A,Score_Repair_1_5_A,Score_UnsupportedClaim_0_1_A,Score_RootCause_1_5_B,Score_Evidence_1_5_B,Score_CWE_1_5_B,Score_Repair_1_5_B,Score_UnsupportedClaim_0_1_B,Score_RootCause_1_5_avg,Score_Evidence_1_5_avg,Score_CWE_1_5_avg,Score_Repair_1_5_avg,Score_UnsupportedClaim_0_1_avg
12834,A4_Oracle,1.0,5.0,3.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,1.5,5.0,4.0,1.5,1.0
16298,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
12335,A2_FunctionLine,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
17947,A4_Oracle,1.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0
16115,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
8451,A3_FunctionLineCWE,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.5,3.0,1.5,1.0,1.0
17947,A3_FunctionLineCWE,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0
13490,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18319,A4_Oracle,3.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0
8210,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,3.0,1.0
12943,A1_FunctionOnly,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0
1188,A2_FunctionLine,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
9386,A4_Oracle,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
7881,A1_FunctionOnly,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
8278,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
8937,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
