original_idx,Condition,gt_cwe,pred_cwe,gt_line,pred_line,line_status,Review_ID
8451,A4_Oracle,CWE-125,CWE-189,"	int hdrlen;/~/		ND_PRINT((ndo, ""[|802.15.4] %x"", caplen));/~/	hdrlen = extract_header_length(fc);/~/	ND_PRINT((ndo,""IEEE 802.15.4 %s packet "", ftypes[fc & 0x7]));/~/	if (hdrlen == -1) {/~/		ND_PRINT((ndo,""invalid! ""));/~/		return caplen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	} else {/~/		uint16_t panid = 0;/~/		switch ((fc >> 10) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			return 0;/~/		case 0x02:/~/			panid = EXTRACT_LE_16BITS(p);/~/			p += 2;/~/			ND_PRINT((ndo,""%04x:%04x "", panid, EXTRACT_LE_16BITS(p)));/~/			p += 2;/~/			break;/~/		case 0x03:/~/			panid = EXTRACT_LE_16BITS(p);/~/			p += 2;/~/			ND_PRINT((ndo,""%04x:%s "", panid, le64addr_string(ndo, p)));/~/			p += 8;/~/			break;/~/		switch ((fc >> 14) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			return 0;/~/		case 0x02:/~/			if (!(fc & (1 << 6))) {/~/				panid = EXTRACT_LE_16BITS(p);/~/				p += 2;/~/			ND_PRINT((ndo,""%04x:%04x "", panid, EXTRACT_LE_16BITS(p)));/~/			break;/~/		case 0x03:/~/			if (!(fc & (1 << 6))) {/~/				panid = EXTRACT_LE_16BITS(p);/~/				p += 2;/~/                        ND_PRINT((ndo,""%04x:%s "", panid, le64addr_string(ndo, p)));/~/			p += 8;/~/			break;/~/		caplen -= hdrlen;/~/	return 0;","int hdrlen;/~/		ND_PRINT((ndo, ""[|802.15.4] %x"", caplen));/~/	hdrlen = extract_header_length(fc);/~/	if (hdrlen == -1) {/~/		ND_PRINT((ndo,""invalid! ""));/~/		return caplen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	} else {/~/		uint16_t panid = 0;/~/		switch ((fc >> 10) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			panid = EXTRACT_LE_16BITS(",Oracle,REV_055
14848,A4_Oracle,CWE-362,CWE-362,		key_user_put(key->user);,key_user_put(key->user);,Oracle,REV_056
15429,A4_Oracle,CWE-362,CWE-399,	mutex_init(&tu->tread_sem);,mutex_init(&tu->tread_sem);,Oracle,REV_057
12943,A2_FunctionLine,CWE-416,CWE-399,  DCHECK(delegate_);,DCHECK(delegate_);,Exact Match,REV_058
12335,A4_Oracle,CWE-119,CWE-416,	/* Prepare to wait on uaddr. */~/	 * race with the atomic proxy lock acquition by the requeue code.,/* Prepare to wait on uaddr. *,Oracle,REV_059
15939,A4_Oracle,CWE-264,CWE-20,"	int procfd = payload->procfd;/~/		ERROR(""error using IPC to receive notification from initial process (0)"");/~/		ERROR(""error using IPC to notify initial process for initialization (1)"");/~/		ERROR(""error using IPC to receive final notification from initial process (2)"");/~/	shutdown(ipc_socket, SHUT_RDWR);/~/	close(ipc_socket);/~/	/* set new apparmor profile/selinux context */~/		if (lsm_set_label_at(procfd, on_exec, init_ctx->lsm_label) < 0) {/~/	/* we don't need proc anymore */~/	close(procfd);","ERROR(""error using IPC to receive notification from initial process (0)"");",Oracle,REV_060
12815,A4_Oracle,CWE-189,CWE-399,  return update_lib_.GetDefaultImpl(use_stub_impl_);/~/},return update_lib_.GetDefaultImpl(use_stub_impl_);,Oracle,REV_061
12489,A1_FunctionOnly,CWE-476,CWE-416,			efree(ent1);/~/			if (ent2->type == ST_FIELD && ent2->data == NULL) {,efree(ent1);,N/A,REV_062
17966,A2_FunctionLine,CWE-125,CWE-399,    DCHECK(request_it->origin.GetOrigin() == request_it->origin);,DCHECK(request_it->origin.GetOrigin() == request_it->origin);,Exact Match,REV_063
16115,A2_FunctionLine,CWE-119,CWE-399,    PassRefPtr<CallbackWrapper> callbacks),PassRefPtr<CallbackWrapper> callbacks),Exact Match,REV_064
8152,A1_FunctionOnly,CWE-125,CWE-189,"        /* If we're assigning to this and we don't have a parent,/~/         * add it to the symbol table root */~/        if (!jsvGetRefs(lhs) && jsvIsName(lhs)) {/~/          if (!jsvIsArrayBufferName(lhs) && !jsvIsNewChild(lhs))/~/            jsvAddName(execInfo.root, lhs);/~/        }/~/        jspReplaceWith(lhs, rhs);",if (lex->tk==LEX_ARROW_FUNCTION) {/~/            if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if,N/A,REV_065
17966,A3_FunctionLineCWE,CWE-125,CWE-399,    DCHECK(request_it->origin.GetOrigin() == request_it->origin);,DCHECK(request_it->origin.GetOrigin() == request_it->origin);,Exact Match,REV_066
16051,A2_FunctionLine,CWE-200,CWE-189,            m_pInput_pmem[i].buffer = (OMX_U8 *)SECURE_BUFPTR;,if (bytes != m_sInPortDef.nBufferSize) {,No Match,REV_067
7501,A2_FunctionLine,CWE-362,CWE-20,	/* racing with another thread binding seems ok here *,/* racing with another thread binding seems ok here *,Exact Match,REV_068
9535,A3_FunctionLineCWE,CWE-125,CWE-189,"		ND_TCHECK2(*(p + 2), 4);","ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/",Partial Match,REV_069
12363,A2_FunctionLine,CWE-476,CWE-Other,	if (REMAIN > INT_MAX),if (REMAIN > INT_MAX),Exact Match,REV_070
18319,A3_FunctionLineCWE,CWE-20,CWE-200,"    ProfileOAuth2TokenServiceFactory::GetForProfile(profile_)->/~/        UpdateCredentials(account_id, result.refresh_token);",if (result.IsSuccess()) {,No Match,REV_071
8451,A2_FunctionLine,CWE-125,CWE-189,"	int hdrlen;/~/		ND_PRINT((ndo, ""[|802.15.4] %x"", caplen));/~/	hdrlen = extract_header_length(fc);/~/	ND_PRINT((ndo,""IEEE 802.15.4 %s packet "", ftypes[fc & 0x7]));/~/	if (hdrlen == -1) {/~/		ND_PRINT((ndo,""invalid! ""));/~/		return caplen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	} else {/~/		uint16_t panid = 0;/~/		switch ((fc >> 10) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			return 0;/~/		case 0x02:/~/			panid = EXTRACT_LE_16BITS(p);/~/			p += 2;/~/			ND_PRINT((ndo,""%04x:%04x "", panid, EXTRACT_LE_16BITS(p)));/~/			p += 2;/~/			break;/~/		case 0x03:/~/			panid = EXTRACT_LE_16BITS(p);/~/			p += 2;/~/			ND_PRINT((ndo,""%04x:%s "", panid, le64addr_string(ndo, p)));/~/			p += 8;/~/			break;/~/		switch ((fc >> 14) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			return 0;/~/		case 0x02:/~/			if (!(fc & (1 << 6))) {/~/				panid = EXTRACT_LE_16BITS(p);/~/				p += 2;/~/			ND_PRINT((ndo,""%04x:%04x "", panid, EXTRACT_LE_16BITS(p)));/~/			break;/~/		case 0x03:/~/			if (!(fc & (1 << 6))) {/~/				panid = EXTRACT_LE_16BITS(p);/~/				p += 2;/~/                        ND_PRINT((ndo,""%04x:%s "", panid, le64addr_string(ndo, p)));/~/			p += 8;/~/			break;/~/		caplen -= hdrlen;/~/	return 0;","int hdrlen;/~/		ND_PRINT((ndo, ""[|802.15.4] %x"", caplen));/~/	hdrlen = extract_header_length(fc);/~/	if (hdrlen == -1) {/~/		ND_PRINT((ndo,""invalid! ""));/~/		return caplen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	} else {/~/		uint16_t panid = 0;/~/		switch ((fc >> 10) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			panid = EXTRACT_LE_16BITS(",No Match,REV_072
9129,A4_Oracle,CWE-20,CWE-399,"  assert(pReader);/~/  assert(pos >= 0);/~/  int status;/~/  //#ifdef _DEBUG/~/  //    long long total, available;/~/  //    status = pReader->Length(&total, &available);/~/  //    assert(status >= 0);/~/  //    assert((total < 0) || (available <= total));/~/  //    assert(pos < available);/~/  //    assert((available - pos) >= 1);  //assume here max u-int len is 8/~/  //#endif/~/  status = pReader->Read(pos, 1, &b);/~/  //#ifdef _DEBUG/~/  //    assert((available - pos) >= len);/~/  //#endif","assert(pReader);/~/  assert(pos >= 0);/~/  int status;/~/  //#ifdef _DEBUG/~/  //    long long total, available;/~/  //    status = pReader->Length(&total, &available);/~/  //    assert(status >= 0);/~/  //    assert((total < 0) || (available <= total));/~/  //    assert(pos < available);/~/  //    assert((available - pos) >= 1);  //assume here max u-int len is 8/~/  //#endif/~/  status = pReader->Read(pos, 1, &b);/~/  //#ifdef _DEBUG/~/  //    assert((available - pos) >= len);/~/  //#endif",Oracle,REV_073
6260,A3_FunctionLineCWE,CWE-119,CWE-399,{/~/    return m_uid;,return m_uid;,Partial Match,REV_074
13822,A2_FunctionLine,CWE-362,CWE-399,"    RenderFrameHost* plugin_rfh,/~/    int32_t guest_instance_id,/~/    int32_t element_instance_id,/~/    bool is_full_page_plugin,/~/    ExtensionsGuestViewMessageFilter* filter)/~/    : content::WebContentsObserver(/~/          content::WebContents::FromRenderFrameHost(plugin_rfh)),/~/      frame_tree_node_id_(plugin_rfh->GetFrameTreeNodeId()),/~/      guest_instance_id_(guest_instance_id),/~/      element_instance_id_(element_instance_id),/~/      is_full_page_plugin_(is_full_page_plugin),/~/      filter_(filter),/~/      parent_site_instance_(plugin_rfh->GetParent()->GetSiteInstance()),/~/      weak_factory_(this) {/~/  DCHECK(GetGuestView());/~/  NavigateToAboutBlank();/~/  base::PostDelayedTaskWithTraits(/~/      FROM_HERE, {BrowserThread::UI},/~/      base::BindOnce(&ExtensionsGuestViewMessageFilter::FrameNavigationHelper::/~/                         CancelPendingTask,/~/                     weak_factory_.GetWeakPtr()),/~/      base::TimeDelta::FromMilliseconds(kAttachFailureDelayMS));/~/}","RenderFrameHost* plugin_rfh,/~/    int32_t guest_instance_id,/~/    int32_t element_instance_id,/~/    bool is_full_page_plugin,/~/    ExtensionsGuestViewMessageFilter* filter)/~/    : content::WebContentsObserver(/~/          content::WebContents::FromRenderFrameHost(plugin_rfh)),/~/      frame_tree_node_id_(plugin_rfh->GetFrameTreeNodeId()),/~/      guest_instance_id_(guest_instance_id),/~/      element_instance_id_(element_instance_id),/~/      is_full_page_plugin_(is_full_page_plugin),/~/      filter_(filter),/~/      parent_site_instance_(plugin_rfh->GetParent()->GetSiteInstance()),/~/      weak_factory_(this) {/~/  DCHECK(GetGuestView());/~/  NavigateToAboutBlank();/~/  base::PostDelayedTaskWithTraits(/~/      FROM_",Partial Match,REV_075
17365,A3_FunctionLineCWE,CWE-399,CWE-399,    scoped_ptr<InputMethodDescriptors> active_input_method_descriptors(/~/        GetActiveInputMethods());,scoped_ptr<InputMethodDescriptors> active_input_method_descriptors(,Partial Match,REV_076
5147,A2_FunctionLine,CWE-189,CWE-399,		convert_to_long_ex(item);/~/		stylearr[index++] = Z_LVAL_PP(item);,stylearr[index++] = Z_LVAL_PP(item);,Partial Match,REV_077
18052,A3_FunctionLineCWE,CWE-20,CWE-476,"       softmask_save softmask = { NULL };/~/       if (image->mask)/~/               if (gstate->blendmode)/~/                       fz_begin_group(ctx, pr->dev, &bbox, NULL, 0, 0, gstate->blendmode, 1);/~/               fz_clip_image_mask(ctx, pr->dev, image->mask, &image_ctm, &bbox);/~/       }/~/       else/~/               gstate = pdf_begin_group(ctx, pr, &bbox, &softmask);/~/       if (!image->colorspace)/~/       {/~/               switch (gstate->fill.kind)/~/               case PDF_MAT_NONE:/~/                       break;/~/               case PDF_MAT_COLOR:/~/                       fz_fill_image_mask(ctx, pr->dev, image, &image_ctm,/~/                               gstate->fill.colorspace, gstate->fill.v, gstate->fill.alpha, &gstate->fill.color_params);/~/                       break;/~/               case PDF_MAT_PATTERN:/~/                       if (gstate->fill.pattern)/~/                       {/~/                               fz_clip_image_mask(ctx, pr->dev, image, &image_ctm, &bbox);/~/                               pdf_show_pattern(ctx, pr, gstate->fill.pattern, &pr->gstate[gstate->fill.gstate_num], &bbox, PDF_FILL);/~/                               fz_pop_clip(ctx, pr->dev);/~/                       }/~/                       break;/~/               case PDF_MAT_SHADE:/~/                       if (gstate->fill.shade)/~/                       {/~/                               fz_clip_image_mask(ctx, pr->dev, image, &image_ctm, &bbox);/~/                               fz_fill_shade(ctx, pr->dev, gstate->fill.shade, &pr->gstate[gstate->fill.gstate_num].ctm, gstate->fill.alpha, &gstate->fill.color_params);/~/                               fz_pop_clip(ctx, pr->dev);/~/                       }/~/                       break;/~/       else/~/               fz_fill_image(ctx, pr->dev, image, &image_ctm, gstate->fill.alpha, &gstate->fill.color_params);/~/       if (image->mask)/~/               fz_pop_clip(ctx, pr->dev);/~/               if (gstate->blendmode)/~/                       fz_end_group(ctx, pr->dev);/~/       else/~/               pdf_end_group(ctx, pr, &softmask);","softmask_save softmask = { NULL };/~/       if (image->mask)/~/                       fz_begin_group(ctx, pr->dev, &bbox, NULL, 0, 0, gstate->blendmode, 1);/~/               fz_clip_image_mask(ctx, pr->dev, image->mask, &image_ctm, &bbox);/~/       }/~/       else/~/               gstate = pdf_begin_group(ctx, pr, &bbox, &softmask);/~/       if (!image->colorspace)/~/       {/~/               case PDF_MAT_NONE:/~/                       break;/~/               case PDF_MAT_COLOR:/~/                       fz_fill_image_mask(ctx, pr->dev, image, &image_ctm,/~/                               gstate->fill.colorspace, gstate->fill.v, gstate->fill.alpha, &gstate->fill.color_params);/~/                       break;/~/               case PDF_MAT_PATTERN:/~/                       if (gstate->fill.",No Match,REV_078
12489,A4_Oracle,CWE-476,CWE-416,			efree(ent1);/~/			if (ent2->type == ST_FIELD && ent2->data == NULL) {,efree(ent1);,Oracle,REV_079
12489,A3_FunctionLineCWE,CWE-476,CWE-416,			efree(ent1);/~/			if (ent2->type == ST_FIELD && ent2->data == NULL) {,efree(ent1);,Partial Match,REV_080
14848,A3_FunctionLineCWE,CWE-362,CWE-362,		key_user_put(key->user);,key_user_put(key->user);,Exact Match,REV_081
12815,A1_FunctionOnly,CWE-189,CWE-399,  return update_lib_.GetDefaultImpl(use_stub_impl_);/~/},return update_lib_.GetDefaultImpl(use_stub_impl_);,N/A,REV_082
14848,A1_FunctionOnly,CWE-362,CWE-362,		key_user_put(key->user);,key_user_put(key->user);,N/A,REV_083
8937,A4_Oracle,CWE-476,CWE-476,	tcmur_unregister_handler(handler);,tcmur_unregister_handler(handler);,Oracle,REV_084
15429,A3_FunctionLineCWE,CWE-362,CWE-399,	mutex_init(&tu->tread_sem);,mutex_init(&tu->tread_sem);,Exact Match,REV_085
17365,A4_Oracle,CWE-399,CWE-399,    scoped_ptr<InputMethodDescriptors> active_input_method_descriptors(/~/        GetActiveInputMethods());,scoped_ptr<InputMethodDescriptors> active_input_method_descriptors(,Oracle,REV_086
8210,A4_Oracle,CWE-20,CWE-399,"      process_(nullptr),","process_(nullptr),",Oracle,REV_087
9218,A3_FunctionLineCWE,CWE-416,CWE-20,"  auto resolver_cb = WTF::Bind(&ImageCapture::ResolveWithMediaTrackConstraints,/~/                               WrapPersistent(this), resolver_constraints);",settings->has_white_balance_mode = constraints.hasWhiteBalanceMode() &&,No Match,REV_088
9535,A2_FunctionLine,CWE-125,CWE-189,"		ND_TCHECK2(*(p + 2), 4);","ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/",Partial Match,REV_089
13204,A4_Oracle,CWE-476,CWE-401,"{/~/	int ret = -EINVAL;/~/	/* init RNG */~/	big_key_rng = crypto_alloc_rng(big_key_rng_name, 0, 0);/~/	if (IS_ERR(big_key_rng)) {/~/		big_key_rng = NULL;/~/		return -EFAULT;/~/	ret = crypto_rng_reset(big_key_rng, NULL, crypto_rng_seedsize(big_key_rng));/~/	if (ret)/~/		goto error;/~/	big_key_skcipher = crypto_alloc_skcipher(big_key_alg_name,/~/						 0, CRYPTO_ALG_ASYNC);/~/	if (IS_ERR(big_key_skcipher)) {/~/		big_key_skcipher = NULL;/~/		ret = -EFAULT;/~/		goto error;/~/error:/~/	big_key_rng = NULL;","int ret = -EINVAL;/~/	/* init RNG */~/	big_key_rng = crypto_alloc_rng(big_key_rng_name, 0, 0);/~/	if (IS_ERR(big_key_rng)) {/~/		big_key_rng = NULL;/~/		return -EFAULT;/~/	ret = crypto_rng_reset(big_key_rng, NULL, crypto_rng_seedsize(big_key_rng));/~/	if (ret)/~/		goto error;/~/	big_key_skcipher = crypto_alloc_skcipher(big_key_alg_name,/~/						 0, CRYPTO_ALG_ASYNC);/~/	if (IS_ERR(big_key_skcipher)) {/~/		big_key_skcipher = NULL;/~/		ret = -EFAULT;/~/		goto error;/~/}",Oracle,REV_090
12417,A2_FunctionLine,CWE-264,CWE-362,"               php_error_docref(NULL TSRMLS_CC, E_WARNING, ""mm_malloc failed, avail %d, err %s"", mm_available(data->mm), mm_error());","php_error_docref(NULL TSRMLS_CC, E_WARNING, ""mm_malloc failed, avail %d, err %s"", mm_available(data->mm), mm_error());",Exact Match,REV_091
8772,A3_FunctionLineCWE,CWE-119,CWE-399,"    char *out = mutt_mem_malloc(3 * len / 4 + 1);/~/    int dlen = mutt_b64_decode(out, it);",char *out = mutt_mem_malloc(3 * len / 4 + 1);,Partial Match,REV_092
10505,A3_FunctionLineCWE,CWE-200,CWE-399,"			    iph->protocol,","iph->protocol,",Exact Match,REV_093
17592,A2_FunctionLine,CWE-20,CWE-189,"			spin_lock_irq(&slave_active_lock);/~/			_snd_timer_stop(slave, 1, SNDRV_TIMER_EVENT_RESOLUTION);/~/			spin_unlock_irq(&slave_active_lock);","_snd_timer_stop(slave, 1, SNDRV_TIMER_EVENT_RESOLUTION);",Partial Match,REV_094
9386,A3_FunctionLineCWE,CWE-200,CWE-189,"	const struct cred *cred = current_cred(), *tcred;/~/	 * process. The right exists if the process has administrative/~/	 * capabilities, superuser privileges or the same/~/	 * userid as the target process./~/	tcred = __task_cred(task);/~/	if (!uid_eq(cred->euid, tcred->suid) && !uid_eq(cred->euid, tcred->uid) &&/~/	    !uid_eq(cred->uid,  tcred->suid) && !uid_eq(cred->uid,  tcred->uid) &&/~/	    !capable(CAP_SYS_NICE)) {","const struct cred *cred = current_cred(), *tcred;/~/	 * process. The right exists if the process has administrative/~/	 * capabilities, superuser privileges or the same/~/	 * userid as the target process./~/	tcred = __task_cred(task);/~/	if (!uid_eq(cred->euid, tcred->suid) && !uid_eq(cred->euid, tcred->uid) &&/~/	    !uid_eq(cred->uid,  tcred->suid) && !uid_eq(cred->uid,  tcred->uid) &&/~/	    !capable(CAP_SYS_NICE)) {",Exact Match,REV_095
16115,A3_FunctionLineCWE,CWE-119,CWE-399,    PassRefPtr<CallbackWrapper> callbacks),PassRefPtr<CallbackWrapper> callbacks),Exact Match,REV_096
17966,A1_FunctionOnly,CWE-125,CWE-399,    DCHECK(request_it->origin.GetOrigin() == request_it->origin);,DCHECK(request_it->origin.GetOrigin() == request_it->origin);,N/A,REV_097
16021,A2_FunctionLine,CWE-119,CWE-399,"{/~/    if (m_replaceLinks && element->isURLAttribute(attribute) && !element->isJavaScriptURLAttribute(attribute)) {/~/        String completeURL = m_document->completeURL(attribute.value());/~/        if (m_replaceLinks->contains(completeURL)) {/~/            // FIXME: Refactor MarkupAccumulator so it is easier to append an attribute like this./~/            result.append(' ');/~/            result.append(attribute.name().toString());/~/            result.appendLiteral(""=\"""");/~/            if (!m_directoryName.isEmpty()) {/~/                result.appendLiteral(""./"");/~/                result.append(m_directoryName);/~/                result.append('/');/~/            }/~/            result.append(m_replaceLinks->get(completeURL));/~/            result.appendLiteral(""\"""");/~/            return;/~/        }/~/    }/~/    MarkupAccumulator::appendAttribute(result, element, attribute, namespaces);/~/}","{/~/    if (m_replaceLinks && element->isURLAttribute(attribute) && !element->isJavaScriptURLAttribute(attribute)) {/~/        String completeURL = m_document->completeURL(attribute.value());/~/        if (m_replaceLinks->contains(completeURL)) {/~/            // FIXME: Refactor MarkupAccumulator so it is easier to append an attribute like this./~/            result.append(' ');/~/            result.append(attribute.name().toString());/~/            result.appendLiteral(""=\"""");/~/            if (!m_directoryName.isEmpty()) {/~/                result.appendLiteral(""./"");/~/                result.append(m_directoryName);/~/                result.append('/');/~/            }/~/            result.append(m_replaceLinks->get(completeURL));/~/        }/~/    }/~/    MarkupAccumulator::appendAttribute(result, element, attribute, namespaces);/~/}",No Match,REV_098
16298,A4_Oracle,CWE-264,CWE-399,"    Mutex::Autolock lock(&mLock);/~/    sp<Sample> sample = new Sample(++mNextSampleID, fd, offset, length);/~/    mSamples.add(sample->sampleID(), sample);/~/    doLoad(sample);/~/    return sample->sampleID();/~/}","Mutex::Autolock lock(&mLock);/~/    sp<Sample> sample = new Sample(++mNextSampleID, fd, offset, length);/~/    mSamples.add(sample->sampleID(), sample);/~/    doLoad(sample);/~/    return sample->sampleID();",Oracle,REV_099
16923,A3_FunctionLineCWE,CWE-189,CWE-119,                  if (v == 255)/~/                  if (v == 255)/~/                  if (v == 255)/~/                  if (v == 255)/~/                  if (v == 255),if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                /* read the whole image */~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                /* read the whole image */~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if,No Match,REV_100
18052,A1_FunctionOnly,CWE-20,CWE-476,"       softmask_save softmask = { NULL };/~/       if (image->mask)/~/               if (gstate->blendmode)/~/                       fz_begin_group(ctx, pr->dev, &bbox, NULL, 0, 0, gstate->blendmode, 1);/~/               fz_clip_image_mask(ctx, pr->dev, image->mask, &image_ctm, &bbox);/~/       }/~/       else/~/               gstate = pdf_begin_group(ctx, pr, &bbox, &softmask);/~/       if (!image->colorspace)/~/       {/~/               switch (gstate->fill.kind)/~/               case PDF_MAT_NONE:/~/                       break;/~/               case PDF_MAT_COLOR:/~/                       fz_fill_image_mask(ctx, pr->dev, image, &image_ctm,/~/                               gstate->fill.colorspace, gstate->fill.v, gstate->fill.alpha, &gstate->fill.color_params);/~/                       break;/~/               case PDF_MAT_PATTERN:/~/                       if (gstate->fill.pattern)/~/                       {/~/                               fz_clip_image_mask(ctx, pr->dev, image, &image_ctm, &bbox);/~/                               pdf_show_pattern(ctx, pr, gstate->fill.pattern, &pr->gstate[gstate->fill.gstate_num], &bbox, PDF_FILL);/~/                               fz_pop_clip(ctx, pr->dev);/~/                       }/~/                       break;/~/               case PDF_MAT_SHADE:/~/                       if (gstate->fill.shade)/~/                       {/~/                               fz_clip_image_mask(ctx, pr->dev, image, &image_ctm, &bbox);/~/                               fz_fill_shade(ctx, pr->dev, gstate->fill.shade, &pr->gstate[gstate->fill.gstate_num].ctm, gstate->fill.alpha, &gstate->fill.color_params);/~/                               fz_pop_clip(ctx, pr->dev);/~/                       }/~/                       break;/~/       else/~/               fz_fill_image(ctx, pr->dev, image, &image_ctm, gstate->fill.alpha, &gstate->fill.color_params);/~/       if (image->mask)/~/               fz_pop_clip(ctx, pr->dev);/~/               if (gstate->blendmode)/~/                       fz_end_group(ctx, pr->dev);/~/       else/~/               pdf_end_group(ctx, pr, &softmask);","softmask_save softmask = { NULL };/~/       if (image->mask)/~/                       fz_begin_group(ctx, pr->dev, &bbox, NULL, 0, 0, gstate->blendmode, 1);/~/               fz_clip_image_mask(ctx, pr->dev, image->mask, &image_ctm, &bbox);/~/       }/~/       else/~/               gstate = pdf_begin_group(ctx, pr, &bbox, &softmask);/~/       if (!image->colorspace)/~/       {/~/               case PDF_MAT_NONE:/~/                       break;/~/               case PDF_MAT_COLOR:/~/                       fz_fill_image_mask(ctx, pr->dev, image, &image_ctm,/~/                               gstate->fill.colorspace, gstate->fill.v, gstate->fill.alpha, &gstate->fill.color_params);/~/                       break;/~/               case PDF_MAT_PATTERN:/~/                       if (gstate->fill.",N/A,REV_101
3856,A3_FunctionLineCWE,CWE-416,CWE-Other,        char added;/~/        pair->added = 0;,pair->added = 0;,Partial Match,REV_102
11554,A1_FunctionOnly,CWE-416,CWE-399,"	int ret;/~/	ret = hns_nic_net_xmit_hw(ndev, skb,/~/				  &tx_ring_data(priv, skb->queue_mapping));/~/	if (ret == NETDEV_TX_OK) {/~/		netif_trans_update(ndev);/~/		ndev->stats.tx_bytes += skb->len;/~/		ndev->stats.tx_packets++;/~/	}/~/	return (netdev_tx_t)ret;","int ret;/~/	ret = hns_nic_net_xmit_hw(ndev, skb,/~/				  &tx_ring_data(priv, skb->queue_mapping));/~/	if (ret == NETDEV_TX_OK) {/~/		netif_trans_update(ndev);/~/		ndev->stats.tx_bytes += skb->len;/~/		ndev->stats.tx_packets++;/~/	}/~/	return (netdev_tx_t)ret;",N/A,REV_103
18757,A4_Oracle,CWE-399,CWE-362,  enable_ipc_proxy_ = CommandLine::ForCurrentProcess()->HasSwitch(/~/      switches::kEnableNaClIPCProxy);,enable_ipc_proxy_ = CommandLine::ForCurrentProcess()->HasSwitch(,Oracle,REV_104
8772,A2_FunctionLine,CWE-119,CWE-399,"    char *out = mutt_mem_malloc(3 * len / 4 + 1);/~/    int dlen = mutt_b64_decode(out, it);",char *out = mutt_mem_malloc(3 * len / 4 + 1);,Partial Match,REV_105
